date, pm25, pm10, o3, no2, so2, co
2023-11-25,44,27,16,32,4,6
2023-11-26,67,41,23,34,4,7
2023-11-27,93,34,24,16,4,5
2023-11-28,75,19,28,24,4,5
2023-11-29,40,20,27,13,4,3
2023-11-30,34,25,21,21,4,4
2023-12-01,53,39,22,36,4,7
2023-12-02,78,42,22,22,5,7
2023-12-03,86,46,8,51,5,9
2023-12-04,96,46,12,51,5,8
2023-12-05,97,62,25,48,4,9
2023-12-06,125,58,20,27,5,6
2023-12-07,73,72,46,28,4,6
2023-12-08,83,68,41,24,4,7
2023-12-09,109,71,20,24,6,8
2023-12-10,122,7,25,11,3,4
2023-12-11,11,7,22,19,3,5
2023-12-12,13,15,9,30,3,6
2023-12-13,28,10,26,19,3,5
2023-12-14,22,5,27,17,3,4
2023-12-15,10,19,29,9,3,4
2023-12-16,41,15,28,8,2,4
2023-12-17,34,14,21,23,3,5
2023-12-18,32,28,11,40,3,7
2023-12-19,66,43,27,18,4,6
2023-12-20,99,22,25,13,3,4
2023-12-21,57,23,24,15,3,5
2023-12-22,49,33,12,38,4,7
2023-12-23,77,40,15,40,4,8
2023-12-24,105,46,21,37,4,9
2023-12-25,120,47,18,50,5,11
2023-12-26,119,68,9,59,4,13
2023-12-27,158,53,14,47,5,11
2023-12-28,124,46,15,40,5,8
2023-12-29,111,44,10,39,4,8
2023-12-30,113,24,20,28,4,8
2023-12-31,74,27,18,31,4,9
2023-07-01,73,21,42,12,3,4
2023-07-02,53,34,75,17,4,4
2023-07-03,75,35,36,19,3,5
2023-07-04,81,29,57,10,3,5
2023-07-05,52,51,76,14,4,6
2023-07-06,91,46,58,19,3,5
2023-07-07,79,12,38,12,3,4
2023-07-08,28,15,47,11,3,4
2023-07-09,33,35,60,16,4,5
2023-07-10,72,20,42,13,3,4
2023-07-11,38,24,49,13,3,4
2023-07-12,46,23,15,19,3,4
2023-07-13,57,16,32,12,3,4
2023-07-14,41,24,36,11,3,5
2023-07-15,57,32,33,11,3,4
2023-07-16,67,28,30,18,3,4
2023-07-17,58,16,9,17,3,3
2023-07-18,33,31,53,15,3,4
2023-07-19,57,55,83,25,4,7
2023-07-20,120,61,130,27,4,7
2023-07-21,131,33,40,11,4,4
2023-07-22,76,9,9,7,3,2
2023-07-23,18,22,43,14,4,4
2023-07-24,54,20,28,13,3,3
2023-07-25,44,13,19,13,4,2
2023-07-26,24,22,35,18,4,4
2023-07-27,49,32,38,16,4,3
2023-07-28,81,32,39,15,4,3
2023-07-29,79,15,51,10,3,3
2023-07-30,37,25,50,14,4,4
2023-07-31,79,29,109,14,3,4
2023-08-01,71,36,51,19,4,4
2023-08-02,69,22,40,16,4,2
2023-08-03,54,20,43,15,3,2
2023-08-04,51,20,41,11,4,2
2023-08-05,36,23,51,11,3,3
2023-08-06,44,10,31,10,3,3
2023-08-07,19,8,28,9,3,2
2023-08-08,15,8,20,8,3,2
2023-08-09,14,5,40,8,3,2
2023-08-10,10,18,26,14,3,4
2023-08-11,41,20,27,14,3,4
2023-08-12,45,30,57,11,3,4
2023-08-13,67,44,68,16,3,6
2023-08-14,94,26,49,9,3,4
2023-08-15,60,19,44,16,3,4
2023-08-16,43,26,77,19,4,5
2023-08-17,60,39,101,17,3,4
2023-08-18,74,29,78,20,4,5
2023-08-19,71,29,55,11,3,4
2023-08-20,68,27,38,16,3,4
2023-08-21,62,21,25,14,4,4
2023-08-22,48,10,36,15,3,4
2023-08-23,20,8,36,12,3,4
2023-08-24,11,18,44,13,4,4
2023-08-25,33,44,84,13,4,6
2023-08-26,87,31,45,11,4,5
2023-08-27,69,14,27,11,3,4
2023-08-28,33,14,19,13,3,4
2023-08-29,27,21,25,22,3,5
2023-08-30,43,23,42,19,4,5
2023-08-31,56,29,52,17,3,5
2023-09-01,61,31,52,16,3,5
2023-09-02,69,18,28,10,3,4
2023-09-03,47,18,24,15,3,4
2023-09-04,36,18,42,17,4,4
2023-09-05,39,17,25,12,3,4
2023-09-06,34,16,30,15,3,4
2023-09-07,44,19,44,18,3,4
2023-09-08,29,33,56,16,3,4
2023-09-09,59,39,75,14,4,5
2023-09-10,80,32,54,16,3,4
2023-09-11,72,30,41,18,3,4
2023-09-12,64,24,36,19,3,4
2023-09-13,55,9,31,11,3,3
2023-09-14,15,10,30,11,3,3
2023-09-15,18,11,27,14,3,4
2023-09-16,23,15,46,12,4,4
2023-09-17,41,19,37,18,4,4
2023-09-18,51,29,71,18,4,4
2023-09-19,67,18,37,17,3,4
2023-09-20,54,11,31,11,3,3
2023-09-21,19,22,31,20,4,4
2023-09-22,43,20,35,17,3,4
2023-09-23,42,11,34,7,3,3
2023-09-24,19,13,28,15,3,3
2023-09-25,17,7,20,16,3,4
2023-09-26,13,10,15,16,3,5
2023-09-27,18,45,62,11,3,7
2023-09-28,103,36,38,13,3,6
2023-09-29,68,28,48,11,3,5
2023-09-30,48,30,36,8,4,4
2023-04-01,154,49,57,22,4,5
2023-04-02,107,50,63,24,4,5
2023-04-03,108,40,43,20,3,5
2023-04-04,81,18,40,14,3,5
2023-04-05,47,50,44,19,3,7
2023-04-06,119,68,39,20,3,6
2023-04-07,114,41,39,16,3,4
2023-04-08,34,62,53,18,4,5
2023-04-09,66,51,56,23,4,4
2023-04-10,67,49,43,15,2,3
2023-04-11,68,197,31,21,3,4
2023-04-12,108,137,28,34,4,5
2023-04-13,103,79,45,31,4,5
2023-04-14,83,60,38,21,3,4
2023-04-15,85,84,41,16,3,4
2023-04-16,101,83,47,22,4,5
2023-04-17,105,42,39,18,2,5
2023-04-18,74,38,51,19,2,4
2023-04-19,73,26,33,16,3,4
2023-04-20,57,51,41,12,3,3
2023-04-21,64,54,40,11,3,2
2023-04-22,55,55,45,16,3,3
2023-04-23,68,55,46,13,3,3
2023-04-24,67,36,35,21,4,4
2023-04-25,67,30,33,13,3,4
2023-04-26,62,41,54,26,4,5
2023-04-27,83,38,47,28,3,5
2023-04-28,70,29,39,13,2,4
2023-04-29,53,31,54,9,2,3
2023-04-30,54,36,46,13,3,4
2023-05-01,69,28,46,28,4,4
2023-05-02,59,41,55,26,4,4
2023-05-03,72,48,50,16,4,4
2023-05-04,80,11,32,11,2,4
2023-05-05,19,11,40,6,2,3
2023-05-06,27,32,39,10,2,3
2023-05-07,88,39,43,25,3,4
2023-05-08,84,54,70,35,4,5
2023-05-09,100,59,60,29,4,5
2023-05-10,113,53,79,26,5,5
2023-05-11,95,56,50,35,5,5
2023-05-12,109,47,56,16,4,4
2023-05-13,96,24,55,13,4,3
2023-05-14,57,40,75,21,4,4
2023-05-15,79,58,100,20,4,5
2023-05-16,108,38,47,13,3,4
2023-05-17,61,38,37,14,2,4
2023-05-18,74,23,43,12,3,3
2023-05-19,54,26,54,13,3,4
2023-05-20,61,65,45,9,3,4
2023-05-21,85,92,41,17,3,5
2023-05-22,104,61,41,18,3,3
2023-05-23,65,44,56,28,4,5
2023-05-24,71,38,53,18,4,3
2023-05-25,61,35,60,17,3,4
2023-05-26,59,30,19,22,3,5
2023-05-27,64,10,20,12,2,3
2023-05-28,23,13,29,15,3,4
2023-05-29,23,39,40,16,4,5
2023-05-30,78,29,56,15,4,3
2023-05-31,57,43,61,20,4,5
2023-06-01,84,32,36,18,3,4
2023-06-02,68,37,56,15,4,4
2023-06-03,56,42,71,11,4,4
2023-06-04,62,34,53,14,4,4
2023-06-05,53,23,54,9,3,3
2023-06-06,46,39,50,16,3,5
2023-06-07,75,23,36,15,3,4
2023-06-08,48,27,72,15,3,5
2023-06-09,55,39,77,17,3,5
2023-06-10,82,23,53,9,3,4
2023-06-11,56,33,56,20,3,5
2023-06-12,75,30,54,17,2,4
2023-06-13,65,33,56,18,3,4
2023-06-14,78,36,59,19,3,5
2023-06-15,71,29,55,17,4,5
2023-06-16,65,23,62,20,3,4
2023-06-17,55,29,67,13,4,4
2023-06-18,68,48,92,20,4,6
2023-06-19,96,38,47,23,4,5
2023-06-20,79,11,23,12,3,4
2023-06-21,20,20,31,13,3,4
2023-06-22,39,37,76,19,3,6
2023-06-23,83,39,90,17,4,5
2023-06-24,85,33,61,11,3,4
2023-06-25,81,18,34,13,3,4
2023-06-26,43,21,52,14,3,4
2023-06-27,44,36,41,24,3,6
2023-06-28,75,35,42,20,3,5
2023-06-29,78,38,50,24,4,6
2023-06-30,89,30,59,15,3,5
2023-01-02,53,25,24,30,4,6
2023-01-03,68,32,24,39,4,6
2023-01-04,85,43,7,51,4,9
2023-01-05,116,59,16,50,5,10
2023-01-06,149,82,31,30,4,10
2023-01-07,173,90,16,37,4,8
2023-01-08,148,73,22,35,4,6
2023-01-09,117,53,9,38,4,10
2023-01-10,89,63,7,59,6,11
2023-01-11,129,65,5,66,6,11
2023-01-12,148,24,8,36,5,8
2023-01-13,58,13,22,26,3,7
